Date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1927-01-31,1.78,2.26,2.16,2.24,2.33,6.43,6.97,7.97,7.02,7.16,15.59,14.2,14.07,16.02,15.68,36.78,34.36,39.77,36.85,36.5,144.69,231.9,161.96,240.16,249.5
1927-02-28,1.97,2.33,2.18,1.99,2.94,7.32,6.83,8.4,7.09,7.53,15.33,14.9,14.87,15.14,15.84,38.58,33.39,38.56,41.68,36.44,135.77,163.52,168.39,250.38,238.51
1927-03-31,2.11,2.15,2.53,3.56,2.23,7.7,7.56,8.0,7.25,8.82,16.41,15.91,15.0,16.44,17.22,38.8,38.73,41.28,40.1,38.88,143.14,168.33,203.21,235.54,286.92
1927-04-30,1.79,2.25,2.69,2.19,1.92,7.51,6.96,7.86,7.19,7.66,14.93,14.96,15.1,15.26,16.39,32.65,40.53,42.9,37.76,37.89,10772.17606034483,194.37,257.96,205.95,262.33
1927-05-31,1.98,2.07,2.43,2.89,2.3,7.23,7.66,7.0,7.38,7.89,15.71,14.24,15.28,15.66,16.93,34.18,41.86,38.33,39.01,37.52,464.83,175.56,185.9,244.42,314.19
1927-06-30,1.95,2.37,2.49,3.15,1.89,7.81,7.5,7.82,7.86,7.9,16.04,15.26,15.91,16.54,17.05,41.35,42.31,46.48,40.35,39.91,313.09,185.65,246.11,209.53,341.53
1927-07-31,1.81,2.44,2.59,1.73,2.56,7.15,8.22,8.3,7.41,7.68,14.45,14.92,16.04,15.76,17.15,38.86,41.35,41.49,38.09,39.06,131.29,201.05,192.53,280.15,302.94
1927-08-31,1.97,2.82,2.35,2.44,2.7,7.92,8.14,8.13,8.16,8.16,15.04,14.92,16.02,16.96,17.56,36.7,46.27,44.26,41.83,39.3,97.32,213.86,221.56,287.37,392.25
1927-09-30,1.85,2.31,2.6,2.17,2.53,8.02,8.17,7.95,8.08,7.8,14.55,15.94,16.57,17.98,17.65,38.57,45.33,44.59,43.97,38.87,105.58,200.18,272.7,225.19,416.41
1927-10-31,2.06,2.44,2.23,1.52,3.0,8.44,8.69,8.28,8.02,7.85,15.31,17.82,15.95,20.54,17.81,44.87,49.34,47.65,43.86,44.6,137.02,245.0,261.07,240.78,412.82
1927-11-30,1.93,2.43,2.06,2.45,2.66,6.89,8.68,7.25,7.57,8.0,14.12,16.85,17.11,17.96,17.74,37.33,48.7,42.41,44.68,41.88,121.87,260.2,269.89,200.76,415.28
1927-12-31,2.28,1.91,2.37,3.1,3.04,8.07,9.23,8.4,8.59,8.52,15.24,17.91,18.79,19.4,18.15,37.38,51.57,48.53,45.74,42.36,120.7,190.06,296.55,293.4,306.4
1928-01-31,2.38,2.5,2.04,2.2,2.85,8.72,8.65,8.82,9.17,8.81,19.13,19.17,19.88,19.74,20.15,49.22,53.43,48.12,45.43,50.51,126.58,280.46,294.32,226.5,388.46
1928-02-29,2.4,2.99,1.74,2.39,3.13,8.94,9.37,8.75,8.9,9.66,19.05,18.34,19.25,19.72,20.92,38.93,50.2,50.6,44.39,51.0,137.12,265.04,303.61,231.25,369.71
1928-03-31,2.2,2.82,2.93,2.49,2.69,8.63,9.16,8.93,8.43,9.21,17.1,19.89,20.03,19.87,19.66,40.8,50.27,48.82,42.96,49.01,137.56,263.73,299.9,253.77,332.18
1928-04-30,2.61,2.06,3.09,2.72,3.08,9.31,9.87,8.65,9.94,9.79,20.32,20.53,22.48,20.27,20.58,46.15,52.0,49.53,45.41,55.12,117.31,273.97,329.49,246.35,506.58
1928-05-31,2.83,2.51,3.73,3.4,3.12,9.53,10.33,9.78,9.99,9.73,23.33,23.23,22.81,20.62,21.44,50.4,54.89,54.47,51.77,52.85,133.71,263.78,392.05,243.04,428.02
1928-06-30,3.17,3.04,3.06,3.13,3.34,9.21,10.36,9.68,10.82,9.04,22.42,23.96,20.95,21.02,21.86,44.49,53.67,55.19,53.1,56.35,159.14,315.32,333.64,250.59,433.87
1928-07-31,3.07,2.86,2.68,2.55,2.89,8.64,9.39,9.18,9.38,8.64,21.58,20.41,20.53,21.09,20.22,40.2,53.26,49.39,53.19,50.21,143.93,257.71,365.21,257.53,420.27
1928-08-31,3.05,2.63,3.03,2.32,2.91,7.62,10.5,9.31,9.97,8.21,19.63,21.79,21.18,20.09,21.51,41.23,52.68,50.02,54.25,50.26,156.47,241.28,427.28,252.47,387.01
1928-09-30,3.12,2.48,2.99,2.9,2.7,8.19,10.11,9.86,10.17,9.26,22.1,23.65,22.62,21.09,22.76,48.72,54.13,55.65,55.24,55.85,177.95,251.67,451.72,267.51,416.33
1928-10-31,3.25,2.16,3.89,2.58,2.99,8.99,10.51,10.31,10.41,9.78,23.45,24.02,23.44,23.46,22.53,48.51,57.98,56.38,58.08,59.14,168.27,277.03,427.82,236.64,491.22
1928-11-30,3.05,3.28,2.75,3.59,2.84,9.28,10.57,10.47,11.1,10.17,24.5,22.9,24.13,22.56,23.92,53.57,50.77,57.57,58.33,59.68,262.38,280.48,333.06,358.18,470.75
1928-12-31,3.57,3.55,4.25,3.2,3.12,10.98,10.73,11.13,11.65,12.07,27.46,27.1,26.3,24.22,24.69,55.15,64.04,60.22,63.26,65.36,189.04,304.17,428.92,381.8,459.14
1929-01-31,3.46,3.75,4.29,2.89,2.93,11.34,10.38,11.07,12.84,11.16,27.74,26.37,27.67,28.16,24.35,66.98,67.83,67.46,66.36,65.24,158.0,305.76,368.88,565.83,358.16
1929-02-28,3.43,4.5,3.91,2.8,2.83,10.68,11.83,11.8,11.42,11.69,28.45,27.44,25.02,28.67,30.21,68.69,63.05,74.17,71.81,69.37,157.93,296.5,427.32,581.9,401.98
1929-03-31,3.45,4.05,4.23,2.94,2.82,11.05,11.39,11.78,13.62,10.81,27.98,27.59,27.58,29.42,27.54,52.37,67.55,71.3,66.97,69.82,155.65,287.71,503.02,380.55,434.14
1929-04-30,3.51,3.73,3.63,3.0,3.33,10.68,10.95,12.89,11.71,11.52,26.98,26.62,27.34,27.6,28.02,68.91,67.04,67.54,67.25,67.29,174.2,274.38,704.54,371.72,388.38
1929-05-31,3.38,3.81,3.56,3.53,3.01,11.66,10.74,11.83,12.6,10.67,26.13,26.59,28.51,26.82,30.2,61.64,72.53,67.33,65.43,68.87,120.61,193.86,499.07,492.57,391.35
