Date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR,Market Return
1927-01-31,-1.78,2.73,4.16,3.22,-4.95,-2.6,10.14,-0.45,1.68,1.44,-4.71,1.17,3.08,1.95,-1.04,-2.76,2.82,-0.42,1.91,2.78,-6.16,-1.12,0.32,0.38,-0.83,0.17
1927-02-28,6.57,5.68,6.34,7.87,8.52,4.6,7.69,5.5,7.21,5.88,6.33,8.8,6.64,7.59,6.86,7.78,13.48,3.59,3.96,5.35,5.42,5.35,3.56,2.87,5.48,4.47
1927-03-31,-4.0,4.03,-4.28,-3.7,-1.16,-4.07,-5.11,-0.35,0.28,-0.21,-5.63,-3.66,-1.94,-3.07,-1.51,-8.72,-5.03,-1.32,-0.42,2.25,3.85,-4.39,-1.41,1.82,3.47,0.45
1927-04-30,0.91,-0.94,0.17,7.44,-7.3,-1.13,0.55,-1.25,3.67,7.36,-7.68,-0.33,1.03,-0.55,3.43,-1.61,-2.49,0.81,0.14,0.98,0.6383879310344828,-2.0,0.8,0.59,4.11,0.84
1927-05-31,3.83,11.47,1.77,12.86,22.78,0.07,3.47,12.66,4.22,6.1,2.03,5.17,13.42,6.62,7.48,4.65,4.09,4.01,8.85,9.68,5.32,3.32,5.78,5.19,6.91,5.91
1927-06-30,-3.77,-3.59,0.75,-0.31,-9.28,-2.54,1.48,0.37,2.98,-4.2,-3.27,0.51,0.25,-2.04,-1.93,-5.9,-3.55,-2.11,-2.11,-1.87,-3.44,-3.05,-2.13,-1.83,-1.94,-2.17
1927-07-31,3.43,4.61,4.15,5.57,8.84,5.87,7.59,4.38,2.94,6.41,3.4,2.07,2.51,4.62,10.84,7.95,4.98,7.18,8.09,5.09,2.49,4.58,8.18,8.22,11.66,7.78
1927-08-31,-0.07,-5.79,-3.19,-0.86,4.38,2.69,-0.06,2.42,1.81,-0.9,1.25,-3.79,2.04,2.21,-0.83,-1.23,4.05,1.65,0.28,-1.66,0.02,1.35,1.91,2.7,5.09,2.28
1927-09-30,1.81,-2.49,-1.21,5.01,2.2,2.41,0.33,-1.33,-0.01,3.54,3.84,3.67,2.01,3.71,3.94,2.06,5.19,3.12,3.96,9.01,0.14,3.72,5.21,4.93,6.32,4.99
1927-10-31,-7.54,-5.62,0.84,-1.03,-12.48,-2.54,-4.9,-2.16,0.73,-3.72,-3.2,-5.24,-0.67,-3.2,-1.02,-5.42,-2.84,-2.53,-2.09,-4.58,-1.59,-2.04,-3.68,-4.85,-5.77,-4.09
1927-11-30,20.13,3.44,14.45,15.89,8.27,14.48,11.02,10.36,8.24,7.64,8.67,10.63,5.59,6.63,8.8,8.75,7.28,6.68,6.2,8.09,2.75,4.05,5.27,7.92,8.51,7.01
1927-12-31,3.52,-0.74,7.87,2.03,9.02,-0.03,2.53,10.67,-0.43,1.1,0.94,2.66,3.68,2.59,3.98,9.59,6.08,1.91,4.17,5.76,-1.95,0.8,1.22,1.09,5.01,2.33
1928-01-31,2.52,17.18,-2.99,0.51,6.53,4.41,0.24,3.28,4.25,6.38,-1.16,2.82,0.27,1.65,3.67,-2.23,-2.76,2.74,-1.03,0.58,-2.36,-1.67,-0.17,0.11,-1.9,-0.48
1928-02-29,1.38,-1.43,7.39,-6.73,-5.04,-3.34,-3.17,-2.87,-6.11,-6.22,-4.38,-3.68,-1.8,-3.06,-3.67,-3.92,-2.88,-1.78,-2.81,-5.68,0.32,-0.92,-0.37,-1.88,-0.5,-1.35
1928-03-31,5.84,5.31,5.69,-0.23,1.47,6.01,5.06,7.75,7.16,11.83,4.33,9.61,6.53,6.89,7.41,11.68,4.69,6.37,8.67,8.77,5.73,4.96,5.01,6.45,20.8,9.19
1928-04-30,11.18,35.04,17.05,6.71,9.39,8.1,2.86,28.92,3.62,6.58,5.58,7.35,6.87,6.25,8.62,5.34,4.76,10.95,1.39,4.67,9.26,11.06,3.34,2.05,0.74,4.28
1928-05-31,13.68,6.01,9.87,9.84,8.98,0.21,-0.85,5.04,4.07,1.52,0.65,3.6,-2.09,3.11,2.86,9.24,0.18,-0.83,1.33,2.23,-2.26,-2.22,1.55,1.68,4.72,1.69
1928-06-30,-9.39,-9.08,-13.5,-13.54,-12.07,-10.82,-8.97,-7.43,-6.33,-6.18,-5.72,-4.94,-3.69,-5.07,-6.22,-7.99,-6.23,-3.56,-6.32,-6.81,-8.52,-3.47,-3.65,-5.14,-3.31,-4.36
1928-07-31,-1.04,5.43,-0.69,0.31,3.34,-2.48,-1.9,-1.99,0.57,-0.32,-0.82,-0.76,0.43,1.93,2.31,-0.76,-0.55,0.62,1.73,1.7,0.58,0.13,1.07,-0.21,2.51,0.86
1928-08-31,7.23,2.96,7.94,0.43,-1.8,1.43,3.73,3.0,8.83,7.3,9.51,3.3,6.95,7.44,5.71,4.89,6.54,8.47,7.63,12.38,4.8,4.3,6.34,9.17,9.8,7.11
1928-09-30,6.69,10.56,4.31,7.4,6.85,4.66,1.58,5.08,5.8,12.13,6.85,0.84,6.49,6.69,4.9,3.36,1.66,5.33,6.93,7.65,1.65,0.97,0.71,3.75,5.7,2.96
1928-10-31,0.92,-5.24,-3.06,2.25,10.16,-0.89,4.34,0.48,3.99,4.78,-5.8,2.21,0.22,1.19,6.55,-2.57,-0.08,0.64,-0.32,3.56,-1.44,0.84,1.21,3.45,3.28,1.71
1928-11-30,12.85,20.36,9.31,17.26,11.76,8.45,7.66,15.39,5.8,13.97,7.64,12.4,8.15,9.17,14.63,11.04,8.25,12.2,10.83,16.06,6.2,10.49,11.18,17.69,11.7,12.36
1928-12-31,-6.66,2.51,-2.76,-3.58,-7.74,-3.88,1.41,2.82,-0.17,-0.43,-0.91,1.76,2.42,-0.44,0.41,0.66,1.58,-0.73,1.9,3.35,0.37,-0.9,-1.33,2.83,0.52,0.45
1929-01-31,4.23,0.85,-3.24,0.36,3.59,-2.18,-0.2,1.34,5.07,0.55,-0.02,2.49,1.75,3.32,6.18,7.0,1.1,5.49,3.85,2.29,4.56,5.3,5.18,8.19,2.51,5.13
