Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR,Market Return
2023-12-31,16.5,11.99,12.24,10.45,5.12,3.75,5.24
2023-11-30,9.11,8.09,11.29,7.92,7.76,11.26,9.3
2023-10-31,-7.99,-5.13,-7.55,-4.69,-2.17,-1.76,-2.61
2023-09-30,-8.14,-4.69,-6.95,-4.73,-4.29,-5.44,-4.8
2023-08-31,-7.9,-5.18,-4.38,-5.18,-1.3,-1.16,-1.9
2023-07-31,9.85,6.1,4.81,5.44,4.25,2.39,3.67
2023-06-30,7.82,8.21,6.73,10.95,5.6,7.35,6.87
2023-05-31,-0.43,-2.24,0.81,5.0,-0.71,2.47,0.69
2023-04-30,-3.0,-2.59,-1.46,0.42,1.25,2.11,1.01
2023-03-31,-6.33,-5.18,-4.57,7.58,2.15,0.93,2.93
2023-02-28,-4.43,-0.8,-1.5,-0.97,-2.35,-3.64,-2.29
2023-01-31,19.33,9.59,5.44,18.35,6.09,0.2,6.91
2022-12-31,-7.41,-4.35,-5.13,-10.18,-5.43,-3.4,-6.04
2022-11-30,1.31,3.28,1.94,7.44,6.5,2.86,5.05
2022-10-31,7.9,11.77,13.4,7.53,6.5,9.96,8.1
2022-09-30,-11.3,-9.39,-8.72,-11.82,-9.51,-7.37,-9.08
2022-08-31,-1.37,-2.3,0.24,-4.22,-4.71,-1.63,-3.59
2022-07-31,11.87,9.8,9.76,14.48,8.73,8.7,9.63
2022-06-30,-7.42,-5.9,-10.18,-11.59,-8.0,-7.37,-8.23
2022-05-31,-2.66,0.83,1.74,-0.93,0.08,-0.42,-0.27
2022-04-30,-14.57,-7.68,-7.31,-12.22,-7.73,-9.73,-9.32
2022-03-31,0.46,0.36,1.57,-0.18,2.65,4.65,3.24
2022-02-28,-0.51,1.17,2.55,-1.92,-3.42,-1.43,-2.29
2022-01-31,-10.0,-5.43,-10.13,-2.33,-5.79,-7.45,-5.82
2021-12-31,2.49,4.51,1.88,4.69,5.29,-0.19,3.51
2021-11-30,-6.29,-2.46,-3.93,-2.89,0.25,-3.52,-1.42
2021-10-31,1.6,3.32,4.42,4.23,8.34,7.9,6.7
2021-09-30,-3.01,-2.7,-1.92,-5.09,-4.31,-3.17,-4.4
2021-08-31,0.76,2.42,2.7,1.86,3.3,4.91,2.86
2021-07-31,-3.43,-2.2,-5.21,2.27,2.15,-0.57,1.62
2021-06-30,1.94,-0.03,4.38,1.31,3.48,3.2,2.66
2021-05-31,-0.21,1.73,2.38,-0.21,1.02,-1.01,0.32
2021-04-30,0.42,2.2,1.8,3.74,6.45,4.79,5.07
2021-03-31,4.89,3.99,-0.07,6.88,5.92,-0.48,3.32
2021-02-28,12.81,9.96,6.88,9.57,4.62,-0.36,2.94
2021-01-31,5.04,3.88,14.05,0.7,-2.97,0.76,-0.15
2020-12-31,11.25,7.33,8.86,6.42,4.65,4.05,4.64
2020-11-30,26.97,16.94,18.0,26.11,13.64,10.13,12.31
2020-10-31,5.62,3.27,2.21,0.36,-2.0,-2.64,-2.06
2020-09-30,-6.24,-4.58,-1.77,-6.11,-2.08,-4.3,-3.69
2020-08-31,8.01,5.3,4.81,5.08,4.78,9.17,7.65
2020-07-31,-0.06,2.81,4.74,-3.0,4.0,7.37,5.86
2020-06-30,5.36,3.31,5.19,4.86,-1.32,3.56,2.4
2020-05-31,8.54,4.83,7.24,3.43,5.26,5.54,5.44
2020-04-30,24.44,13.52,18.34,17.18,13.8,12.75,13.64
2020-03-31,-25.62,-22.47,-22.8,-24.39,-12.9,-11.28,-13.19
2020-02-29,-9.0,-9.72,-7.55,-5.74,-8.44,-7.89,-8.05
2020-01-31,-7.2,-4.47,-1.6,-4.34,-0.34,2.01,-0.03
2019-12-31,6.1,3.01,3.42,4.03,2.56,2.97,2.9
2019-11-30,4.77,4.63,3.67,6.79,4.54,2.61,4.0
2019-10-31,0.16,3.24,3.47,3.76,3.49,0.75,2.25
2019-09-30,5.79,3.97,-2.07,5.59,3.13,-0.21,1.72
2019-08-31,-8.94,-5.67,-3.59,-8.28,-3.79,0.2,-2.3
2019-07-31,-3.13,0.45,2.44,0.59,2.38,0.78,1.45
2019-06-30,7.81,7.52,7.54,10.69,7.31,6.45,7.1
2019-05-31,-12.62,-8.94,-5.92,-13.28,-7.1,-4.82,-6.64
2019-04-30,3.55,3.93,1.49,6.37,5.33,2.49,4.2
2019-03-31,-3.33,-3.35,-1.41,0.08,1.03,2.54,1.25
2019-02-28,4.99,5.81,5.41,2.73,3.16,4.01,3.58
2019-01-31,17.77,10.03,8.93,16.03,7.74,7.55,8.58
2018-12-31,-14.22,-11.87,-11.35,-9.91,-9.63,-8.56,-9.41
2018-11-30,2.63,1.27,0.84,0.79,3.77,-0.15,1.84
2018-10-31,-11.64,-9.36,-12.08,-5.54,-5.71,-9.25,-7.41
2018-09-30,-2.03,-2.86,-2.43,0.23,0.28,0.72,0.22
2018-08-31,2.74,3.01,6.39,0.75,1.63,7.66,3.63
2018-07-31,1.27,1.91,1.35,4.65,4.73,1.73,3.43
2018-06-30,2.4,0.41,1.1,3.06,0.38,-0.37,0.6
2018-05-31,5.67,4.94,9.07,-0.45,2.35,3.88,2.8
2018-04-30,2.14,0.67,1.12,-1.12,0.54,0.64,0.44
2018-03-31,0.37,1.54,0.39,-0.66,-2.28,-2.93,-2.21
2018-02-28,-5.26,-3.16,-3.38,-6.95,-4.42,-1.72,-3.53
